work_key,author,title,group,code
1|de-voragine-jacobus|legenda-aurea,"de VORAGINE, Jacobus",Legenda aurea,forma,proza
1|de-voragine-jacobus|legenda-aurea,"de VORAGINE, Jacobus",Legenda aurea,podobdobi,stredovek
2|austenova-jane|pycha-a-predsudek,"AUSTENOVÁ, Jane",Pýcha a předsudek,forma,proza
2|balzac-honore-de|otec-goriot,"BALZAC, Honoré de",Otec Goriot,forma,proza
2|baudelaire-charles|kvety-zla,"BAUDELAIRE, Charles",Květy zla,forma,poezie
2|bronteova-emily|na-vetrne-hurce,"BRONTËOVÁ, Emily",Na Větrné hůrce,forma,proza
2|coleridge-samuel|pisen-o-starem-namornikovi,"COLERIDGE, Samuel",Píseň o starém námořníkovi,forma,poezie
2|cechov-anton-pavlovic|visnovy-sad,"ČECHOV, Anton Pavlovič",Višňový sad,forma,drama
2|cechov-anton-pavlovic|racek,"ČECHOV, Anton Pavlovič",Racek,forma,drama
2|cechov-anton-pavlovic|tri-sestry,"ČECHOV, Anton Pavlovič",Tři sestry,forma,drama
2|dickens-charles|nadejne-vyhlidky,"DICKENS, Charles",Nadějné vyhlídky,forma,proza
2|dickens-charles|david-copperfield,"DICKENS, Charles",David Copperfield,forma,proza
2|dickinsonova-emily|a-basnikem-byt-nechci,"DICKINSONOVÁ, Emily",A básníkem být nechci,forma,poezie
2|dostojevskij-fjodor-m|zlocin-a-trest,"DOSTOJEVSKIJ, Fjodor M.",Zločin a trest,forma,proza
2|dostojevskij-fjodor-m|bratri-karamazovi,"DOSTOJEVSKIJ, Fjodor M.",Bratři Karamazovi,forma,proza
2|dostojevskij-fjodor-m|idiot,"DOSTOJEVSKIJ, Fjodor M.",Idiot,forma,proza
2|dostojevskij-fjodor-m|besi,"DOSTOJEVSKIJ, Fjodor M.",Běsi,forma,proza
2|flaubert-gustave|pani-bovaryova,"FLAUBERT, Gustave",Paní Bovaryová,forma,proza
2|goethe-johann-wolfgang|utrpeni-mladeho-werthera,"GOETHE, Johann Wolfgang",Utrpení mladého Werthera,forma,proza
2|gogol-nikolaj-vasiljevic|revizor,"GOGOL, Nikolaj Vasiljevič",Revizor,forma,drama
2|hawthorne-nathaniel|sarlatove-pismeno,"HAWTHORNE, Nathaniel",Šarlatové písmeno,forma,proza
